0.45 0.79 1
-0.53 0.65 1
1.1 0.43 1
-0.15 1.2 1
0.24 -0.76 1
0.6 -0.69 1
-1 0.085 1
0.55 0.37 1
0.1 -0.5 1
1.3 -0.21 1
-0.037 -1.2 1
-0.97 -0.12 1
-0.56 0.74 1
0.15 0.96 1
-0.38 0.78 1
-0.88 0.27 1
0.64 0.37 1
-0.44 -0.94 1
-0.63 -0.95 1
0.32 -0.75 1
-0.089 -1 1
-0.89 -0.13 1
1.1 0.47 1
-1 0.2 1
0.71 -0.53 1
-0.36 -1.1 1
-0.99 -0.042 1
1.2 0.4 1
-1.2 -0.091 1
0.55 -0.58 1
0.73 0.075 1
0.85 0.92 1
0.68 0.44 1
-1 0.89 1
0.24 -1.1 1
0.082 1.2 1
-1.2 -0.11 1
-0.34 -0.87 1
1 -0.47 1
-0.47 -0.83 1
-0.58 -1.1 1
-0.046 -1.2 1
-0.14 -1.4 1
-0.93 -0.17 1
0.5 -0.25 1
-0.56 0.68 1
0.98 -0.027 1
-0.74 -0.66 1
-0.37 1.1 1
0.54 0.54 1
-1.3 0.19 1
-0.43 1.1 1
-0.4 -0.91 1
-0.83 0.53 1
-0.76 0.53 1
0.12 0.6 1
-1.1 0.25 1
-0.7 -0.76 1
0.38 1.2 1
0.73 -0.8 1
0.75 -0.15 1
0.028 1.2 1
-0.29 0.72 1
-0.83 0.7 1
0.63 0.21 1
0.97 -0.23 1
-1 -0.85 1
-0.17 1.2 1
-0.88 -0.13 1
-0.93 0.17 1
-0.038 1.1 1
0.35 0.97 1
0.72 0.22 1
-0.76 0.26 1
-0.57 -0.6 1
-0.59 -0.76 1
0.84 -0.95 1
-0.92 0.33 1
1.1 0.13 1
-1 0.24 1
-0.92 -0.086 1
-0.64 0.84 1
-0.71 0.38 1
-0.23 -1.1 1
-0.64 -0.26 1
0.89 -0.32 1
-0.79 0.48 1
0.9 0.068 1
-0.28 -1.1 1
-0.52 -0.3 1
-0.38 0.81 1
0.53 0.89 1
0.64 -0.54 1
0.59 -0.35 1
-0.06 0.72 1
-0.097 0.8 1
0.29 -0.83 1
0.91 0.29 1
0.12 -0.92 1
-0.058 0.99 1
0.42 0.86 1
-0.22 0.6 1
-0.19 -1 1
-0.22 0.83 1
-0.45 -0.51 1
-0.73 0.52 1
0.79 0.46 1
0.15 0.71 1
0.61 -0.67 1
0.97 0.095 1
0.59 0.7 1
-0.55 0.74 1
-0.26 0.82 1
0.8 0.84 1
0.12 -0.39 1
0.87 0.43 1
0.53 -0.83 1
-0.88 -0.56 1
0.84 -0.87 1
0.92 0.72 1
-0.49 -0.8 1
0.2 -0.75 1
-0.85 -0.5 1
0.79 0.35 1
-0.46 0.9 1
0.46 -0.81 1
-0.59 0.62 1
0.63 -0.62 1
